location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
7936,"Los Angeles - N. Mai","pm10",8,"µg/m³","2025-10-16T02:00:00Z","2025-10-15T19:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",10,"µg/m³","2025-10-16T03:00:00Z","2025-10-15T20:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",12,"µg/m³","2025-10-16T04:00:00Z","2025-10-15T21:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",15,"µg/m³","2025-10-16T05:00:00Z","2025-10-15T22:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",22,"µg/m³","2025-10-16T06:00:00Z","2025-10-15T23:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",13,"µg/m³","2025-10-16T07:00:00Z","2025-10-16T00:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",17,"µg/m³","2025-10-16T08:00:00Z","2025-10-16T01:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-16T09:00:00Z","2025-10-16T02:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",18,"µg/m³","2025-10-16T10:00:00Z","2025-10-16T03:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",15,"µg/m³","2025-10-16T11:00:00Z","2025-10-16T04:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-16T12:00:00Z","2025-10-16T05:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",21,"µg/m³","2025-10-16T13:00:00Z","2025-10-16T06:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-16T14:00:00Z","2025-10-16T07:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",21,"µg/m³","2025-10-16T15:00:00Z","2025-10-16T08:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",24,"µg/m³","2025-10-16T16:00:00Z","2025-10-16T09:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",17,"µg/m³","2025-10-16T17:00:00Z","2025-10-16T10:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",11,"µg/m³","2025-10-16T18:00:00Z","2025-10-16T11:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-16T19:00:00Z","2025-10-16T12:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-16T20:00:00Z","2025-10-16T13:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",12,"µg/m³","2025-10-16T21:00:00Z","2025-10-16T14:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",15,"µg/m³","2025-10-16T22:00:00Z","2025-10-16T15:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",12,"µg/m³","2025-10-16T23:00:00Z","2025-10-16T16:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",12,"µg/m³","2025-10-17T00:00:00Z","2025-10-16T17:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",13,"µg/m³","2025-10-17T01:00:00Z","2025-10-16T18:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",17,"µg/m³","2025-10-17T02:00:00Z","2025-10-16T19:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",14,"µg/m³","2025-10-17T03:00:00Z","2025-10-16T20:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-17T04:00:00Z","2025-10-16T21:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",24,"µg/m³","2025-10-17T05:00:00Z","2025-10-16T22:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",28,"µg/m³","2025-10-17T06:00:00Z","2025-10-16T23:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",25,"µg/m³","2025-10-17T07:00:00Z","2025-10-17T00:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",21,"µg/m³","2025-10-17T08:00:00Z","2025-10-17T01:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",20,"µg/m³","2025-10-17T09:00:00Z","2025-10-17T02:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",20,"µg/m³","2025-10-17T10:00:00Z","2025-10-17T03:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",18,"µg/m³","2025-10-17T11:00:00Z","2025-10-17T04:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-17T12:00:00Z","2025-10-17T05:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",17,"µg/m³","2025-10-17T13:00:00Z","2025-10-17T06:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",26,"µg/m³","2025-10-17T14:00:00Z","2025-10-17T07:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",28,"µg/m³","2025-10-17T15:00:00Z","2025-10-17T08:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",38,"µg/m³","2025-10-17T16:00:00Z","2025-10-17T09:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-17T17:00:00Z","2025-10-17T10:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-17T18:00:00Z","2025-10-17T11:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",12,"µg/m³","2025-10-17T19:00:00Z","2025-10-17T12:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-17T20:00:00Z","2025-10-17T13:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",24,"µg/m³","2025-10-17T21:00:00Z","2025-10-17T14:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",14,"µg/m³","2025-10-17T22:00:00Z","2025-10-17T15:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",16,"µg/m³","2025-10-17T23:00:00Z","2025-10-17T16:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",13,"µg/m³","2025-10-18T00:00:00Z","2025-10-17T17:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",12,"µg/m³","2025-10-18T01:00:00Z","2025-10-17T18:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",11,"µg/m³","2025-10-18T02:00:00Z","2025-10-17T19:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",16,"µg/m³","2025-10-18T03:00:00Z","2025-10-17T20:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-18T04:00:00Z","2025-10-17T21:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",25,"µg/m³","2025-10-18T05:00:00Z","2025-10-17T22:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",31,"µg/m³","2025-10-18T06:00:00Z","2025-10-17T23:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",28,"µg/m³","2025-10-18T07:00:00Z","2025-10-18T00:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",27,"µg/m³","2025-10-18T08:00:00Z","2025-10-18T01:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-18T09:00:00Z","2025-10-18T02:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-18T10:00:00Z","2025-10-18T03:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-18T11:00:00Z","2025-10-18T04:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",16,"µg/m³","2025-10-18T12:00:00Z","2025-10-18T05:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",16,"µg/m³","2025-10-18T13:00:00Z","2025-10-18T06:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",21,"µg/m³","2025-10-18T14:00:00Z","2025-10-18T07:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",28,"µg/m³","2025-10-18T15:00:00Z","2025-10-18T08:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",16,"µg/m³","2025-10-18T16:00:00Z","2025-10-18T09:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",17,"µg/m³","2025-10-18T17:00:00Z","2025-10-18T10:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-18T18:00:00Z","2025-10-18T11:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",15,"µg/m³","2025-10-18T19:00:00Z","2025-10-18T12:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",10,"µg/m³","2025-10-18T20:00:00Z","2025-10-18T13:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",7,"µg/m³","2025-10-18T21:00:00Z","2025-10-18T14:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",13,"µg/m³","2025-10-18T22:00:00Z","2025-10-18T15:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",21,"µg/m³","2025-10-18T23:00:00Z","2025-10-18T16:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",24,"µg/m³","2025-10-19T00:00:00Z","2025-10-18T17:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-19T01:00:00Z","2025-10-18T18:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-19T02:00:00Z","2025-10-18T19:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",24,"µg/m³","2025-10-19T03:00:00Z","2025-10-18T20:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",31,"µg/m³","2025-10-19T04:00:00Z","2025-10-18T21:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",33,"µg/m³","2025-10-19T05:00:00Z","2025-10-18T22:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",35,"µg/m³","2025-10-19T06:00:00Z","2025-10-18T23:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",32,"µg/m³","2025-10-19T07:00:00Z","2025-10-19T00:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",33,"µg/m³","2025-10-19T08:00:00Z","2025-10-19T01:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",36,"µg/m³","2025-10-19T09:00:00Z","2025-10-19T02:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-19T12:00:00Z","2025-10-19T05:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",17,"µg/m³","2025-10-19T13:00:00Z","2025-10-19T06:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",14,"µg/m³","2025-10-19T14:00:00Z","2025-10-19T07:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-19T15:00:00Z","2025-10-19T08:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",22,"µg/m³","2025-10-19T16:00:00Z","2025-10-19T09:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",15,"µg/m³","2025-10-19T17:00:00Z","2025-10-19T10:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",15,"µg/m³","2025-10-19T18:00:00Z","2025-10-19T11:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",27,"µg/m³","2025-10-19T19:00:00Z","2025-10-19T12:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",24,"µg/m³","2025-10-19T20:00:00Z","2025-10-19T13:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",25,"µg/m³","2025-10-19T21:00:00Z","2025-10-19T14:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-19T22:00:00Z","2025-10-19T15:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",16,"µg/m³","2025-10-19T23:00:00Z","2025-10-19T16:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",22,"µg/m³","2025-10-20T00:00:00Z","2025-10-19T17:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",17,"µg/m³","2025-10-20T01:00:00Z","2025-10-19T18:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-20T02:00:00Z","2025-10-19T19:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-20T03:00:00Z","2025-10-19T20:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",33,"µg/m³","2025-10-20T04:00:00Z","2025-10-19T21:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",35,"µg/m³","2025-10-20T05:00:00Z","2025-10-19T22:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",40,"µg/m³","2025-10-20T06:00:00Z","2025-10-19T23:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",41,"µg/m³","2025-10-20T07:00:00Z","2025-10-20T00:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",34,"µg/m³","2025-10-20T08:00:00Z","2025-10-20T01:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-20T09:00:00Z","2025-10-20T02:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",27,"µg/m³","2025-10-20T10:00:00Z","2025-10-20T03:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",24,"µg/m³","2025-10-20T11:00:00Z","2025-10-20T04:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-20T12:00:00Z","2025-10-20T05:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-20T13:00:00Z","2025-10-20T06:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-20T14:00:00Z","2025-10-20T07:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",33,"µg/m³","2025-10-20T15:00:00Z","2025-10-20T08:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",39,"µg/m³","2025-10-20T16:00:00Z","2025-10-20T09:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",40,"µg/m³","2025-10-20T17:00:00Z","2025-10-20T10:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",26,"µg/m³","2025-10-20T18:00:00Z","2025-10-20T11:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-20T19:00:00Z","2025-10-20T12:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-20T20:00:00Z","2025-10-20T13:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-20T21:00:00Z","2025-10-20T14:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",39,"µg/m³","2025-10-20T22:00:00Z","2025-10-20T15:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",31,"µg/m³","2025-10-20T23:00:00Z","2025-10-20T16:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-21T00:00:00Z","2025-10-20T17:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",19,"µg/m³","2025-10-21T01:00:00Z","2025-10-20T18:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",26,"µg/m³","2025-10-21T02:00:00Z","2025-10-20T19:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",29,"µg/m³","2025-10-21T03:00:00Z","2025-10-20T20:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",35,"µg/m³","2025-10-21T04:00:00Z","2025-10-20T21:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",27,"µg/m³","2025-10-21T05:00:00Z","2025-10-20T22:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",37,"µg/m³","2025-10-21T06:00:00Z","2025-10-20T23:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",38,"µg/m³","2025-10-21T07:00:00Z","2025-10-21T00:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",32,"µg/m³","2025-10-21T08:00:00Z","2025-10-21T01:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",23,"µg/m³","2025-10-21T09:00:00Z","2025-10-21T02:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",30,"µg/m³","2025-10-21T10:00:00Z","2025-10-21T03:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
7936,"Los Angeles - N. Mai","pm10",28,"µg/m³","2025-10-21T11:00:00Z","2025-10-21T04:00:00-07:00","America/Los_Angeles",34.066429,-118.22675500000001,,,,"Unknown Governmental Organization","AirNow"
